custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
9874-OYPBRP-30S,Zone 4,1,Female,36,35-49,February,13,High school degree,Service,No,11,11 to 15,No,42,3.74,$25 - $49,3.1,0.24,-1.42,1.06,0.06,No,Highly dissatisfied,Married,12,High school degree,4,9,0,0,3,0,0,0,6,Own,Single-family,13,8 to 15,2,Own,Import,19.6,Economy,No,Yes,Car,Single occupancy,23,Yes,No,No,Yes,No,No,0,No,0,No,No response,Moderate,No,No,Yes,Discover,Other,Cash back,No,18,5,Visa,Platinum,Other,No,18,More than 15,6,124.73,3,45.35,Yes,Energy bar,57,No,14.35,2.66,906.3,6.81,1,44,3.78,2526.4,7.83,No,0,#NULL!,0,#NULL!,Yes,27.5,3.31,1545,7.34,No,0,#NULL!,0,#NULL!,0,No,No,None,Yes,Yes,Yes,Yes,No,Yes,12,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No
7042-XUPZNS-LII,Zone 5,4,Male,65,>65,February,14,High school degree,Sales and Office,No,13,11 to 15,No,76,4.33,$75 - $124,8.9,1.07,0.07,5.7,1.74,No,Somewhat satisfied,Married,14,High school degree,3,1,1,0,0,0,0,0,0,Own,Single-family,31,More than 25,2,Own,Import,48.4,Luxury,No,No,Car,Single occupancy,36,Yes,No,No,No,Yes,No,1,Yes,0,Yes,No response,Slightly liberal,No,No,No,American Express,Platinum,Other,No,24,5,Discover,Gold,1,No,20,More than 15,10,521.03,3,162.74,No,Oatmeal,53,No,8.4,2.13,453.35,6.12,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,21,3.04,1085,6.99,No,0,#NULL!,0,#NULL!,0,No,No,Dial-up,No,No,No,No,No,Yes,14,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No
2602-GARLID-YZ3,Zone 3,4,Male,46,35-49,February,13,High school degree,Managerial and Professional,No,12,11 to 15,No,91,4.51,$75 - $124,10.9,0.82,-0.19,9.1,2.21,No,Neutral,Unmarried,-1,Not married,1,0,0,0,0,0,0,0,0,Own,Single-family,5,4 to 7,3,Own,Import,34.2,Standard,No,No,Car,Single occupancy,31,Yes,No,Yes,No,No,No,0,Yes,0,Yes,Convenience,Liberal,Yes,Yes,No,American Express,Platinum,None,No,13,4,Discover,Other,Cash back,No,10,6 to 10,16,908.15,4,370.79,No,Cereal,21,No,12.5,2.53,311.9,5.74,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,10.75,2.37,215,5.37,No,0,#NULL!,0,#NULL!,0,No,No,None,No,Yes,No,Yes,No,Yes,22,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No
2141-TPXJMS-MEJ,Zone 2,1,Male,72,>65,June,11,Did not complete high school,Service,No,27,More than 15,Yes,38,3.64,$25 - $49,14.7,1.21,0.19,4.37,1.48,No,Highly satisfied,Married,15,Some college,2,9,0,1,0,1,0,0,7,Rent,Single-family,21,16 to 25,4,Lease,Import,17.5,Economy,Yes,No,Car,Single occupancy,19,Yes,No,No,No,Yes,No,0,No,0,No,No response,Moderate,Yes,No,No,American Express,None,Airline miles,No,31,5,Discover,Platinum,Other,No,20,More than 15,13,368.06,6,159.25,Yes,Cereal,54,No,25.1,3.22,1420.7,7.26,1,28.5,3.35,1524.35,7.33,No,0,#NULL!,0,#NULL!,Yes,15.25,2.72,830,6.72,No,0,#NULL!,0,#NULL!,1,No,No,None,Yes,No,Yes,Yes,No,Yes,21,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
7983-HKLXGL-UZO,Zone 3,1,Female,66,>65,March,13,High school degree,Managerial and Professional,No,25,More than 15,No,167,5.12,$125+,11.5,5.95,1.78,13.25,2.58,No,Neutral,Unmarried,-1,Not married,1,9,1,0,0,0,0,0,8,Own,Single-family,33,More than 25,2,Own,Import,65.2,Luxury,No,No,Car,Single occupancy,28,Yes,Yes,No,No,No,No,0,Yes,0,No,No response,Liberal,Yes,Yes,Yes,Visa,Gold,Airline miles,No,22,5,Mastercard,Platinum,Other,No,13,11 to 15,7,152.09,8,96.72,Yes,Oatmeal,55,No,16.25,2.79,878.8,6.78,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,0,No,No,None,Yes,No,No,Yes,No,Yes,24,Yes,Yes,Yes,No,No,No,No,No,Yes,1,No,No
3354-UMLLON-FEB,Zone 1,2,Female,65,>65,January,20,Post-undergraduate degree,Managerial and Professional,No,12,11 to 15,No,143,4.96,$125+,3.2,1.93,0.66,2.64,0.97,No,Neutral,Married,17,College degree,2,2,0,2,0,0,0,0,0,Rent,Single-family,36,More than 25,1,Own,Import,68.6,Luxury,No,Yes,Walk,Non-motorized,22,No,No,No,Yes,No,Yes,0,Yes,0,No,No response,Extremely conservative,Yes,No,Yes,Discover,Gold,Other,No,38,5,Mastercard,Other,Other,No,29,More than 15,7,207.99,2,64.54,Yes,Oatmeal,71,No,36.65,3.6,2516.25,7.83,0,0,#NULL!,0,#NULL!,Yes,32.8,3.49,2398.65,7.78,Yes,24.25,3.19,1625,7.39,No,0,#NULL!,0,#NULL!,1,No,No,None,No,No,No,No,Yes,Yes,21,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No
9440-EMPBYW-Y32,Zone 2,1,Male,79,>65,August,9,Did not complete high school,"Operation, Fabrication, General Labor",No,37,More than 15,Yes,27,3.3,$25 - $49,3.8,0.15,-1.88,0.87,-0.13,No,Highly satisfied,Married,9,Did not complete high school,2,0,0,0,0,0,0,0,0,Rent,Multiple-Family,22,16 to 25,0,N/A,N/A,-1,N/A,N/A,Yes,Walk,Non-motorized,17,No,No,No,No,No,No,0,Yes,0,No,No response,Liberal,No,No,No,Visa,Platinum,Cash back,No,33,5,American Express,None,Other,No,23,More than 15,11,168.43,2,34.13,No,Oatmeal,65,No,33.85,3.52,2161.85,7.68,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,17.5,2.86,1035,6.94,No,0,#NULL!,0,#NULL!,1,No,No,None,Yes,Yes,Yes,Yes,No,Yes,19,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No
8278-ZKAUGN-EID,Zone 5,4,Female,74,>65,March,8,Did not complete high school,Sales and Office,No,3,2 to 5,No,21,3.04,Under $25,9.3,0.37,-0.99,1.58,0.46,No,Somewhat dissatisfied,Married,9,Did not complete high school,2,1,0,1,0,0,0,0,0,Rent,Multiple-Family,29,More than 25,2,Own,Domestic,7.4,Economy,No,No,Car,Single occupancy,30,Yes,No,No,No,Yes,No,0,No,0,Yes,Prices,Extremely liberal,Yes,No,Yes,Other,None,Other,No,18,5,Visa,Gold,Other,Yes,12,11 to 15,8,266.51,9,351.3,Yes,Oatmeal,38,No,7.55,2.02,283.8,5.65,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,11,2.4,395,5.98,No,0,#NULL!,0,#NULL!,0,No,No,None,No,No,No,No,No,Yes,22,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
2442-GRDDMK-0WR,Zone 1,1,Male,42,35-49,October,10,Did not complete high school,Managerial and Professional,No,4,2 to 5,No,57,4.04,$50 - $74,21.7,8.4,2.13,3.97,1.38,Yes,Somewhat dissatisfied,Married,12,High school degree,2,1,1,0,0,0,0,0,0,Own,Condominium/Townhouse,13,8 to 15,1,Own,Domestic,31.6,Standard,No,Yes,Motorcycle,Single occupancy,16,Yes,Yes,No,No,No,No,0,No,0,No,No response,Conservative,Yes,No,Yes,American Express,Gold,Cash back,No,3,2,Discover,None,1,No,4,2 to 5,14,407.09,4,79.98,No,Oatmeal,23,No,7,1.95,161.85,5.09,1,14,2.64,337.25,5.82,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,0,No,No,None,No,No,Yes,Yes,No,Yes,21,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
3912-MKLRVC-NNW,Zone 1,1,Female,21,18-24,September,14,High school degree,"Operation, Fabrication, General Labor",No,1,Less than 2,No,20,3,Under $25,17.5,0.45,-0.8,3.05,1.11,Yes,Neutral,Married,15,Some college,5,6,0,0,0,0,0,0,6,Rent,Single-family,1,Less than 3,1,Own,Domestic,10.1,Economy,No,No,Train/Subway,Public transportation,25,No,No,No,No,Yes,No,0,No,0,No,No response,Moderate,No,No,Yes,Visa,Platinum,None,No,2,2,Mastercard,Other,1,No,3,2 to 5,4,48.38,4,58.66,No,Energy bar,9,Yes,3.8,1.34,39.85,3.69,1,28.25,3.34,284.1,5.65,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,0,Yes,Yes,None,Yes,Yes,Yes,Yes,No,Yes,20,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes
2619-CCKAFO-AJU,Zone 3,1,Female,65,>65,March,12,High school degree,Service,No,20,More than 15,Yes,11,2.4,Under $25,2.9,0.17,-1.75,0.15,-1.93,No,Highly satisfied,Married,13,High school degree,2,9,1,0,0,0,0,0,8,Rent,Multiple-Family,30,More than 25,4,Own,Domestic,4.4,Economy,No,No,Car,Single occupancy,21,Yes,No,No,No,Yes,No,0,No,0,No,No response,Moderate,No,No,No,Mastercard,Gold,Cash back,No,30,5,Visa,None,Cash back,Yes,20,More than 15,7,153.76,2,54.27,No,Oatmeal,66,No,17,2.83,1155.2,7.05,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,13,2.56,815,6.7,Yes,36.85,3.61,2331.45,7.75,1,Yes,Yes,Dial-up,Yes,Yes,Yes,Yes,Yes,Yes,20,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No
4523-CZLDHQ-F6P,Zone 5,5,Male,76,>65,January,14,High school degree,Sales and Office,No,17,More than 15,Yes,22,3.09,Under $25,5.9,0.8,-0.23,0.5,-0.69,No,Somewhat satisfied,Married,13,High school degree,2,7,0,0,0,1,0,0,6,Own,Mobile Home,39,More than 25,1,Lease,Domestic,8.7,Economy,No,Yes,Walk,Non-motorized,30,Yes,No,Yes,Yes,Yes,Yes,1,Yes,0,No,Service,Conservative,No,No,Yes,Visa,None,Airline miles,No,33,5,Other,Platinum,Airline miles,No,23,More than 15,7,190.71,3,94.15,No,Oatmeal,63,No,17.15,2.84,1091.55,7,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,17.25,2.85,1040,6.95,No,0,#NULL!,0,#NULL!,1,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,19,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
6663-JLIULF-CGK,Zone 4,5,Female,40,35-49,November,12,High school degree,Sales and Office,No,3,2 to 5,No,30,3.4,$25 - $49,11.3,1.37,0.31,2.02,0.7,No,Highly dissatisfied,Married,11,Did not complete high school,2,4,1,0,1,0,2,0,0,Own,Single-family,14,8 to 15,5,Own,Domestic,16.2,Economy,No,Yes,Car,Single occupancy,46,Yes,No,No,No,No,No,1,Yes,0,No,No response,Moderate,No,No,Yes,Mastercard,None,Airline miles,No,20,5,Discover,Other,Airline miles,No,18,More than 15,10,382.44,6,203.45,No,Oatmeal,37,Yes,7.7,2.04,323.35,5.78,1,20.25,3.01,710.4,6.57,No,0,#NULL!,0,#NULL!,Yes,3.25,1.18,115,4.74,No,0,#NULL!,0,#NULL!,0,No,No,None,Yes,Yes,Yes,Yes,No,Yes,21,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes
5950-FEHITD-TVN,Zone 3,1,Female,24,18-24,May,12,High school degree,Managerial and Professional,No,2,2 to 5,No,19,2.94,Under $25,21.8,0.79,-0.23,3.35,1.21,No,Neutral,Married,12,High school degree,3,0,0,0,0,0,0,0,0,Rent,Multiple-Family,4,4 to 7,2,Own,Import,9.1,Economy,No,Yes,Car,Single occupancy,27,Yes,No,No,No,No,No,0,No,0,No,No response,Slightly conservative,No,No,No,Visa,Gold,Airline miles,No,4,2,Other,Platinum,Cash back,No,6,6 to 10,11,290.14,6,88.72,No,Cereal,27,No,9.9,2.29,297.7,5.7,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,8.75,2.17,220,5.39,No,0,#NULL!,0,#NULL!,0,No,No,None,Yes,Yes,Yes,Yes,No,Yes,16,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
3022-QGLIBG-Y5M,Zone 3,2,Female,78,>65,July,9,Did not complete high school,Sales and Office,No,13,11 to 15,No,25,3.22,$25 - $49,11.6,0.66,-0.42,2.24,0.81,No,Neutral,Unmarried,-1,Not married,1,0,0,0,0,0,0,0,0,Rent,Multiple-Family,44,More than 25,2,Lease,Domestic,10.7,Economy,No,Yes,Car,Single occupancy,16,Yes,No,Yes,No,Yes,No,0,Yes,0,No,Convenience,Slightly conservative,No,No,No,Mastercard,Platinum,Other,No,29,5,Discover,Gold,Cash back,No,26,More than 15,11,404.85,4,178.2,Yes,Energy bar,52,No,6.85,1.92,351.7,5.86,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,78.5,4.36,4010,8.3,No,0,#NULL!,0,#NULL!,0,No,No,None,No,No,No,No,No,Yes,14,Yes,Yes,Yes,No,No,No,Yes,No,Yes,1,No,No
0115-BGCJZG-B08,Zone 3,2,Female,35,35-49,May,17,College degree,Agricultural and Natural Resources,No,8,6 to 10,No,59,4.08,$50 - $74,5.9,1.26,0.23,2.22,0.8,No,Somewhat dissatisfied,Unmarried,-1,Not married,2,0,0,0,0,0,0,0,0,Rent,Multiple-Family,5,4 to 7,1,Own,Domestic,24.8,Standard,Yes,No,Walk,Non-motorized,23,No,No,No,No,No,No,0,Yes,0,No,No response,Moderate,Yes,No,No,Visa,Other,None,Yes,13,4,Discover,Platinum,Airline miles,No,8,6 to 10,12,204.69,4,92.25,Yes,Cereal,27,No,6.5,1.87,194.45,5.27,0,0,#NULL!,0,#NULL!,Yes,23.3,3.15,644.95,6.47,Yes,14,2.64,345,5.84,No,0,#NULL!,0,#NULL!,1,No,No,Dial-up,No,No,No,No,No,Yes,16,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
6514-SXICCV-327,Zone 4,5,Male,45,35-49,December,10,Did not complete high school,Service,Yes,11,11 to 15,No,51,3.93,$50 - $74,14.2,1.61,0.47,5.63,1.73,No,Neutral,Married,12,High school degree,2,10,3,0,0,0,0,0,7,Own,Single-family,21,16 to 25,4,Own,Domestic,31.1,Standard,Yes,Yes,Car,Single occupancy,34,Yes,No,No,Yes,No,No,0,Yes,0,No,No response,Liberal,Yes,Yes,No,Mastercard,Gold,Cash back,No,20,5,Discover,None,Airline miles,No,18,More than 15,11,270.87,5,54.5,Yes,Cereal,51,No,8.95,2.19,437.5,6.08,1,16,2.77,806.2,6.69,No,0,#NULL!,0,#NULL!,Yes,15.75,2.76,790,6.67,No,0,#NULL!,0,#NULL!,0,No,No,None,No,Yes,Yes,Yes,No,Yes,25,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No
8840-BUPLQG-AC2,Zone 4,3,Male,68,>65,June,12,High school degree,"Operation, Fabrication, General Labor",Yes,23,More than 15,Yes,16,2.77,Under $25,25.7,0.14,-1.94,3.97,1.38,No,Highly satisfied,Unmarried,-1,Not married,1,0,0,0,0,0,0,0,0,Rent,Single-family,36,More than 25,3,Own,Import,7.2,Economy,No,No,Car,Single occupancy,25,Yes,No,Yes,No,Yes,No,1,No,0,No,No response,Liberal,Yes,No,Yes,Mastercard,Gold,Cash back,No,37,5,Visa,Platinum,Cash back,No,28,More than 15,9,267.32,8,206.09,No,Cereal,71,No,28.95,3.37,2075.55,7.64,1,31.75,3.46,2188.6,7.69,No,0,#NULL!,0,#NULL!,Yes,27.5,3.31,1935,7.57,No,0,#NULL!,0,#NULL!,1,Yes,No,Cable modem,Yes,Yes,Yes,No,No,Yes,15,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No
3416-EFSFKO-9V8,Zone 4,1,Female,68,>65,August,14,High school degree,Managerial and Professional,No,5,2 to 5,No,74,4.3,$50 - $74,7.3,0.17,-1.76,5.23,1.65,No,Somewhat dissatisfied,Unmarried,-1,Not married,1,1,0,0,0,1,0,0,0,Own,Single-family,30,More than 25,2,Own,Import,40.1,Luxury,Yes,No,Car,Single occupancy,17,Yes,No,No,No,No,No,0,No,0,No,No response,Conservative,No,No,Yes,Mastercard,Other,Airline miles,Yes,9,3,Visa,Gold,1,No,11,11 to 15,11,273.3,6,209.27,No,Energy bar,28,No,8.3,2.12,260.5,5.56,1,26.25,3.27,807.65,6.69,No,0,#NULL!,0,#NULL!,Yes,10.5,2.35,270,5.6,No,0,#NULL!,0,#NULL!,0,No,No,None,No,Yes,No,No,No,Yes,25,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
8399-DFHIXN-C78,Zone 5,3,Male,31,25-34,December,15,Some college,Sales and Office,No,1,Less than 2,No,56,4.03,$50 - $74,4.4,0.53,-0.63,1.93,0.66,No,Highly dissatisfied,Unmarried,-1,Not married,1,3,3,0,0,0,0,0,0,Own,Single-family,11,8 to 15,1,Lease,Import,36.4,Standard,No,No,Train/Subway,Public transportation,25,No,No,No,No,Yes,No,0,No,0,No,Convenience,Slightly conservative,Yes,No,Yes,American Express,None,Cash back,Yes,2,2,Discover,Gold,Airline miles,No,5,2 to 5,11,628.72,5,330.55,Yes,Cereal,10,Yes,3.45,1.24,47.55,3.86,1,16.25,2.79,171.1,5.14,No,0,#NULL!,0,#NULL!,Yes,23,3.14,190,5.25,Yes,21.15,3.05,192.9,5.26,0,Yes,Yes,DSL,Yes,No,No,No,No,Yes,19,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
7273-DIUGIG-ZUR,Zone 3,5,Female,43,35-49,December,13,High school degree,Sales and Office,No,5,2 to 5,No,32,3.47,$25 - $49,21.2,1.34,0.3,5.44,1.69,Yes,Highly satisfied,Unmarried,-1,Not married,1,0,0,0,0,0,0,0,0,Own,Single-family,6,4 to 7,2,Own,Domestic,12.9,Economy,Yes,Yes,Car,Single occupancy,34,Yes,No,No,No,No,No,0,No,0,No,No response,Moderate,No,No,No,Other,None,Cash back,No,19,5,Mastercard,Gold,Other,No,19,More than 15,9,156.41,1,17.26,Yes,Cereal,46,No,5.1,1.63,250.8,5.52,0,0,#NULL!,0,#NULL!,Yes,37.45,3.62,1572.2,7.36,Yes,23.25,3.15,1065,6.97,Yes,27.2,3.3,1208.95,7.1,1,Yes,No,None,No,Yes,No,No,Yes,Yes,18,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No
9979-YOPGLE-VN1,Zone 3,3,Male,78,>65,September,11,Did not complete high school,Sales and Office,No,14,11 to 15,Yes,17,2.83,Under $25,4.5,0.32,-1.14,0.45,-0.81,No,Neutral,Married,8,Did not complete high school,2,0,0,0,0,0,0,0,0,Rent,Multiple-Family,36,More than 25,3,Own,Domestic,6,Economy,No,No,Car,Single occupancy,33,Yes,No,No,No,Yes,No,0,No,0,No,No response,Slightly liberal,No,No,No,American Express,Other,Cash back,Yes,27,5,Other,Platinum,1,No,19,More than 15,18,544.61,5,183.1,No,Cereal,50,No,9.4,2.24,524.9,6.26,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,12.25,2.51,675,6.51,No,0,#NULL!,0,#NULL!,0,No,No,None,No,No,No,No,No,Yes,13,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
5379-EZKLUJ-ACJ,Zone 5,5,Female,42,35-49,November,13,High school degree,Sales and Office,No,6,6 to 10,No,39,3.66,$25 - $49,8.3,1.48,0.39,1.76,0.57,Yes,Neutral,Married,14,High school degree,2,1,0,1,0,0,0,0,0,Own,Single-family,19,16 to 25,3,Own,Domestic,18.3,Economy,No,No,Bus,Public transportation,37,Yes,No,No,Yes,No,No,0,No,0,No,No response,Extremely liberal,No,No,Yes,Other,Platinum,Airline miles,No,16,5,Visa,None,1,No,13,11 to 15,13,223.04,5,90.66,Yes,Cereal,36,No,11,2.4,438.4,6.08,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,1,No,No,None,No,No,No,No,No,Yes,22,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
4860-RNWLDP-MC8,Zone 2,2,Female,70,>65,August,14,High school degree,Sales and Office,No,8,6 to 10,No,38,3.64,$25 - $49,17.4,3.07,1.12,3.54,1.27,No,Somewhat dissatisfied,Unmarried,-1,Not married,1,0,0,0,0,0,0,0,0,Rent,Single-family,16,16 to 25,0,N/A,N/A,-1,N/A,N/A,Yes,Telecommute,Telecommute,19,No,No,No,Yes,No,No,0,Yes,0,Yes,No response,Conservative,Yes,No,Yes,Visa,Gold,Cash back,No,4,2,Mastercard,Platinum,Airline miles,No,3,2 to 5,9,338.36,8,339.75,Yes,Oatmeal,5,No,7.55,2.02,53.55,3.98,1,17,2.83,94.45,4.55,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,0,No,No,None,No,No,No,No,No,Yes,26,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes
4201-NGKFVP-LEL,Zone 3,3,Male,47,35-49,August,17,College degree,Sales and Office,No,1,Less than 2,No,34,3.53,$25 - $49,8.5,1,0,1.89,0.64,No,Somewhat dissatisfied,Married,17,College degree,2,0,0,0,0,0,0,0,0,Own,Mobile Home,26,More than 25,0,N/A,N/A,-1,N/A,N/A,Yes,Walk,Non-motorized,23,Yes,No,No,Yes,No,No,0,Yes,0,Yes,No response,Conservative,Yes,No,No,Mastercard,Gold,Airline miles,No,23,5,American Express,Platinum,Cash back,No,17,More than 15,13,558.84,4,129.74,Yes,Cereal,53,No,7.15,1.97,331.35,5.8,1,29.75,3.39,1633.15,7.4,Yes,37.9,3.63,1981.85,7.59,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,1,Yes,No,Dial-up,No,Yes,Yes,Yes,Yes,Yes,18,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
8598-USALTF-08H,Zone 4,4,Male,55,50-64,August,20,Post-undergraduate degree,Managerial and Professional,No,12,11 to 15,No,25,3.22,$25 - $49,7.3,0.48,-0.73,1.35,0.3,No,Highly satisfied,Married,17,College degree,2,7,0,0,0,0,0,0,7,Own,Condominium/Townhouse,20,16 to 25,1,Lease,Import,11.9,Economy,No,No,Bus,Public transportation,24,No,No,Yes,Yes,No,No,0,Yes,0,No,No response,Extremely liberal,Yes,Yes,Yes,Visa,Platinum,Other,No,26,5,American Express,Other,Cash back,No,16,More than 15,17,425.03,9,285.64,No,Cereal,48,No,8.4,2.13,424.1,6.05,1,33,3.5,1588.05,7.37,Yes,52.25,3.96,2355.3,7.76,Yes,21.5,3.07,940,6.85,Yes,55.45,4.02,2696.8,7.9,1,Yes,Yes,Cable modem,Yes,No,Yes,Yes,Yes,Yes,12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
6412-ALYEFT-RQ6,Zone 5,4,Male,18,18-24,February,13,High school degree,Sales and Office,No,0,Less than 2,No,15,2.71,Under $25,15.6,0.45,-0.8,1.89,0.64,Yes,Highly dissatisfied,Unmarried,-1,Not married,5,1,1,0,0,0,0,0,0,Rent,Condominium/Townhouse,0,Less than 3,2,Own,Import,6.1,Economy,No,No,Car,Single occupancy,28,Yes,No,No,Yes,No,No,0,No,0,No,No response,Conservative,Yes,No,No,Visa,Platinum,Airline miles,No,0,1,Mastercard,None,Other,No,0,Less than 2,16,424.75,5,158.34,Yes,Energy bar,0,Yes,7.35,1.99,#NULL!,#NULL!,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,0,No,No,None,Yes,No,No,No,No,Yes,11,No,Yes,No,No,No,No,No,No,No,No,No,No
9247-MPRRQJ-M3H,Zone 1,1,Male,23,18-24,September,15,Some college,Sales and Office,No,0,Less than 2,No,21,3.04,Under $25,7.2,0.75,-0.29,0.76,-0.27,No,Highly dissatisfied,Unmarried,-1,Not married,3,0,0,0,0,0,0,0,0,Own,Single-family,3,4 to 7,1,Own,Import,12,Economy,No,Yes,Bus,Public transportation,18,Yes,No,No,Yes,No,No,0,No,0,No,No response,Moderate,No,No,No,Discover,Other,Other,No,5,2,American Express,None,Airline miles,No,5,2 to 5,11,319.76,6,208.6,Yes,Energy bar,24,No,10.4,2.34,242.5,5.49,0,0,#NULL!,0,#NULL!,Yes,32.65,3.49,706.55,6.56,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,1,No,No,Cable modem,Yes,Yes,Yes,No,Yes,Yes,21,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
2975-LHBSWI-5KT,Zone 2,5,Female,26,25-34,December,12,High school degree,Sales and Office,Yes,2,2 to 5,No,30,3.4,$25 - $49,12.1,0.37,-1,3.26,1.18,No,Somewhat dissatisfied,Unmarried,-1,Not married,1,7,0,0,4,0,0,0,3,Rent,Multiple-Family,5,4 to 7,0,N/A,N/A,-1,N/A,N/A,No,Train/Subway,Public transportation,25,Yes,No,No,No,Yes,Yes,0,No,0,Yes,No response,Slightly liberal,No,No,Yes,Visa,Other,Cash back,No,8,3,Discover,Other,Cash back,Yes,8,6 to 10,13,526.64,5,117.35,Yes,Energy bar,30,No,7.85,2.06,234.6,5.46,0,0,#NULL!,0,#NULL!,Yes,27.75,3.32,808.25,6.69,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,1,No,No,Dial-up,No,No,No,No,No,Yes,22,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes
